fold,accuracy,f1_spoofed,precision_spoofed,recall_spoofed,f1_real,precision_real,recall_real,roc_auc,train_time_s
2,0.9978288176622772,0.9988750872777112,0.9996764898719762,0.9980749685621264,0.9689433603046168,0.9479627473806752,0.9908736918958384,0.9999329315686064,4.9933812618255615
3,0.9994010855324724,0.9996890990349115,0.9997365852815947,0.9996416172990898,0.991864406779661,0.9906331113869766,0.9930987668288268,0.9999850596732107,5.144373893737793
4,0.9995258317701032,0.9997383772966572,0.9995135829662262,0.999963272764,0.9974722838137472,0.9996444602462112,0.9953095269702199,0.999999012302417,5.135419845581055
5,0.999642313483118,0.9998173042606346,0.999974503563127,0.9996601543748752,0.9915187376725838,0.9843352261601723,0.9988078680707332,0.9999974290438751,5.030524253845215
