fold,accuracy,f1_spoofed,precision_spoofed,recall_spoofed,f1_real,precision_real,recall_real,roc_auc,train_time_s
2,0.998669006996032,0.9993112265763225,0.9989113128792116,0.9997114606122203,0.9803076923076923,0.9916583665338645,0.9692139206619615,0.9986673943635274,8.65444278717041
3,0.9969056085844407,0.9983961023562636,0.9969389600213541,0.9998575104924092,0.9562352941176471,0.9959563778948658,0.9195610363163254,0.9997046979732533,8.699021100997925
4,0.9972423373998112,0.9984803999092365,0.9969836641843306,0.999981636382,0.9851155063646364,0.9998177178271965,0.9708394176733484,0.9991086017124323,7.873538970947266
5,0.9997171781029305,0.9998555496548062,0.9999660079286506,0.9997451157811564,0.9932793042103183,0.9882005899705014,0.9984104907609775,0.999973857444499,8.163326025009155
