fold,accuracy,f1_spoofed,precision_spoofed,recall_spoofed,f1_real,precision_real,recall_real,roc_auc,train_time_s
2,0.9981449285007196,0.9990405589712038,0.9980829572318934,1.0,0.9721075672295184,1.0,0.9457288878072524,0.9999870370926475,4.989182233810425
3,0.9999833634870131,0.9999913643468423,0.9999827288428325,1.0,0.9997736788502886,1.0,0.999547460119923,1.0,5.125335931777954
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,6.047840118408203
5,0.9999958408544548,0.9999978759603314,1.0,0.9999957519296859,0.9999006655408761,0.9998013508144616,1.0,1.0,6.03476095199585
