feature,importance
distance_to_receiver,0.23144200077300467
elevation_angle_to_receiver,0.17701676327158802
uas_dt_s,0.1593058499334392
bearing_to_receiver,0.13270355170563017
uas_3d_speed_mps,0.06309934762156909
speed_variance_w5,0.04001141331517709
uas_step_distance,0.024778779230967326
tortuosity_w5,0.024327951863089087
duplicate_position_flag,0.021819427272037385
trajectory_smoothness,0.020135113017499647
straight_line_ratio,0.019429845010860893
uas_speed_mps,0.013564236762785748
rssi,0.011188463374217165
uas_accel_mps2,0.01007380487074342
uas_height,0.008603151143399166
uas_geoalt,0.007687661054542026
accel_feasibility_flag,0.0071704979360142015
dist_to_operator,0.006893101325698876
altitude_jump_flag,0.0068018762386591654
uas_3d_accel_mps2,0.004250685927643007
uas_heading_deg,0.0027726330955716483
bearing_to_receiver_rate,0.0020849487603038495
has_baroalt,0.0017684494963908313
uas_vertical_speed_mps,0.0010084682635212935
dt_anomaly_flag,0.0009583248104064369
bearing_to_operator,0.00037526342312177896
speed_feasibility_flag,0.0003304728753702849
timestamp_seq_flag,0.00014450538450480686
operator_uas_bearing,0.00013415759766540356
uas_vertical_accel_mps2,0.00011925464457850135
position_jump_flag,4.2036428884938434e-18
