fold,accuracy,f1_spoofed,precision_spoofed,recall_spoofed,f1_real,precision_real,recall_real,roc_auc,train_time_s
2,0.9982863465073911,0.9991125547652794,0.9994440853264382,0.9987812440784827,0.9751657625075346,0.9661968466316292,0.984302750060842,0.9999299636699227,8.034389972686768
3,0.9988104893214382,0.9993828092967048,0.9989559695246641,0.9998100139898789,0.9836384439359268,0.9949079967596343,0.9726213372553456,0.9999811389609818,8.459676027297974
4,0.9993760944343464,0.9996557896186149,0.9993439102946439,0.9999678636685,0.9966712529403933,0.999688376441259,0.9936722863843533,0.9999994643030593,10.445066928863525
5,0.9999126579435521,0.9999553934615311,0.9999957515867823,0.9999150385937188,0.9979176995537927,0.9960411718131433,0.9998013113451222,0.9999997678880714,8.580845832824707
